21,sitename,PISCO_CODE,PERIMETER,AREA,DEPTH,ATOS_ID,HAB_ID,ACRES,HECTARES,ZONE_CODE,ZONE,Year,POLY_ID,dens_sm,pupratio,lin_dens,trend5yr,Sect_ID
23,ANDREW_MOLERA_UC,SAMO01,5.707216755,1.322454778,-30 to -60m,503,503o,326.7856925,132.2454778,o,3,2016,503o,0,0.101266,4.142857,0.162114,6
23,ANDREW_MOLERA_UC,SAMO01,5.500113871,1.108616117,-30 to -60m,501,501o,273.9450086,110.8616117,o,3,2016,501o,0,0.16,2.761905,0.154949,6
23,ANDREW_MOLERA_UC,SAMO01,5.494684068,1.133640461,-30 to -60m,502,502o,280.1286586,113.3640461,o,3,2016,502o,0,0.136364,3.174603,0.15853,6
23,ANDREW_MOLERA_UC,SAMO01,5.229685276,0.94166264,-30 to -60m,500,500o,232.6899058,94.16626398,o,3,2016,500o,0,0.175325,2.873016,0.151424,6
23,ANDREW_MOLERA_UC,SAMO01,4.232762107,0.79421106,-30 to -60m,512,512o,196.2538269,79.42110598,o,3,2016,512o,0,0.099099,3.873016,0.18797,6
23,ANDREW_MOLERA_UC,SAMO01,5.464686735,1.167177523,-30 to -60m,511,511o,288.4158471,116.7177523,o,3,2016,511o,0,0.103896,4.047619,0.186379,6
23,ANDREW_MOLERA_UC,SAMO01,6.255790777,1.667155946,-30 to -60m,510,510o,411.9632059,166.7155946,o,3,2016,510o,0,0.105932,4.142857,0.184474,6
23,ANDREW_MOLERA_UC,SAMO01,6.331250002,1.518882408,-30 to -60m,509,509o,375.3240167,151.8882408,o,3,2016,509o,0,0.102128,4.111111,0.182202,6
23,ANDREW_MOLERA_UC,SAMO01,6.064941347,1.344545065,-30 to -60m,508,508o,332.2443212,134.4545065,o,3,2016,508o,0,0.102128,4.111111,0.179542,6
23,ANDREW_MOLERA_UC,SAMO01,5.400642865,1.116350144,-30 to -60m,507,507o,275.8561282,111.6350144,o,3,2016,507o,0,0.102128,4.111111,0.176533,6
