PERIMETER,AREA,DEPTH,ATOS_ID,HAB_ID,ACRES,HECTARES,ZONE_CODE,ZONE,Year,POLY_ID,dens_sm,pupratio,lin_dens,trend5yr,Sect_ID
2.267470482,0.149589581,-30 to -60m,322,322o,36.96439058,14.95895814,o,3,2016,322o,0.315693,0.140394,7.349206,0.029891,3
6.616293184,0.789778957,-30 to -60m,320,320o,195.1586303,78.97789566,o,3,2016,320o,0.345644,0.140741,7.333333,0.029506,3
3.804552694,0.517539352,-30 to -60m,318,318o,127.886759,51.75393519,o,3,2016,318o,0.375317,0.139364,7.396825,0.020693,3
2.160956349,0.254114542,-30 to -60m,316,316o,62.7930708,25.41145419,o,3,2016,316o,0.375317,0.139364,7.396825,0.008896,3
2.161057005,0.268672965,-30 to -60m,314,314o,66.39053548,26.86729649,o,3,2016,314o,0.288293,0.139364,7.396825,-0.004791,3
2.429542161,0.142204362,-30 to -60m,323,323o,35.13946305,14.22043617,o,3,2016,323o,0.315693,0.140394,7.349206,0.027057,3
1.924462979,0.135639034,-30 to -60m,321,321o,33.51713515,13.56390336,o,3,2016,321o,0.345644,0.140741,7.333333,0.031857,3
5.170711879,0.90529818,-30 to -60m,319,319o,223.7040521,90.529818,o,3,2016,319o,0.375317,0.139706,7.380952,0.025598,3
2.460458933,0.280694938,-30 to -60m,317,317o,69.36122985,28.06949385,o,3,2016,317o,0.375317,0.139364,7.396825,0.015067,3
2.379692764,0.331790408,-30 to -60m,315,315o,81.98719529,33.17904078,o,3,2016,315o,0.375317,0.139024,7.412698,0.002244,3
3.052353993,0.364139568,-30 to -60m,313,313o,89.98084687,36.41395681,o,3,2016,313o,0.288293,0.139364,7.396825,-0.01212,3
3.277226124,0.502830074,-30 to -60m,311,311o,124.2520173,50.28300744,o,3,2016,311o,0.288293,0.139706,7.380952,-0.027186,3
3.34289508,0.50756092,-30 to -60m,309,309o,125.4210347,50.75609198,o,3,2016,309o,0.118262,0,0.428571,-0.042903,3
4.877455372,0.797484413,-30 to -60m,307,307o,197.06269,79.74844126,o,3,2016,307o,0.147947,0,0.460317,-0.058939,3
5.448810135,0.734658324,-30 to -60m,305,305o,181.5380254,73.46583241,o,3,2016,305o,0.160562,0,0.539683,-0.074625,3
5.82011882,0.957483099,-30 to -60m,303,303o,236.5992264,95.74830989,o,3,2016,303o,0.160562,0,0.539683,-0.090153,3
5.933748045,0.79003021,-30 to -60m,301,301o,195.2207164,79.00302099,o,3,2016,301o,0.134351,0,0.857143,-0.105499,3
